Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.645384,1.46883,2.30399,0.220949,1.00592e-5,0.015625,5.96667e-7,9.29732e-7
16384,512,0.517329,1.10943,1.84597,0.162251,6.01881e-6,0.0078125,2.18453e-7,5.18727e-7
16384,1024,0.485416,0.929731,1.73375,0.135243,5.52441e-6,0.00390625,1.40222e-7,3.91854e-7
16384,2048,0.459915,0.839883,1.64301,0.115453,5.79762e-6,0.00195312,1.29745e-7,3.71384e-7
16384,4096,0.436396,0.79496,1.55752,0.0943808,7.02889e-6,0.000976562,5.01168e-8,2.8353e-7
32768,512,0.415426,1.10941,1.48463,0.158721,5.10374e-6,0.0078125,1.2047e-7,3.19114e-7
32768,1024,0.413512,0.92972,1.47693,0.135429,4.66084e-6,0.00390625,4.28796e-8,2.47693e-7
32768,2048,0.412095,0.839877,1.47171,0.114511,4.09128e-6,0.00195312,4.39662e-8,2.51612e-7
32768,4096,0.401808,0.794964,1.43346,0.101519,5.48351e-6,0.000976562,4.1017e-8,2.86362e-7
32768,8192,0.41425,0.772491,1.47956,0.0973534,6.17678e-6,0.000488281,3.16262e-8,2.24856e-7
65536,1024,0.237832,0.929707,0.84918,0.124996,2.83116e-6,0.00390625,2.86964e-8,1.24817e-7
65536,2048,0.217572,0.839859,0.777011,0.103844,2.01189e-6,0.00195312,1.47847e-8,1.12903e-7
65536,4096,0.210716,0.794938,0.753304,0.0928928,1.92405e-6,0.000976562,1.47847e-8,1.30172e-7
65536,8192,0.204888,0.772477,0.731781,0.0895692,2.88403e-6,0.000488281,1.33878e-8,9.49755e-8
65536,16384,0.200789,0.761252,0.717872,0.0851102,2.60417e-6,0.000244141,2.64651e-8,1.18957e-7
131072,2048,0.203435,0.839859,0.726768,0.123455,2.00545e-6,0.00195312,1.05356e-8,8.22086e-8
