Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.645725,1.27686,2.30363,0.235252,1.34912e-5,0.015625,0.0005361,0.000536297
16384,512,0.517604,0.903021,1.84557,0.189922,1.0273e-5,0.0078125,0.000559387,0.00055975
16384,1024,0.485735,0.719158,1.73363,0.169835,1.37601e-5,0.00390625,0.000631685,0.000632452
16384,2048,0.460235,0.625948,1.64304,0.151046,1.05905e-5,0.00195312,0.000642933,0.000643285
16384,4096,0.436878,0.582777,1.55821,0.132519,8.78177e-6,0.000976562,0.000693403,0.000714903
32768,512,0.415675,0.891872,1.48435,0.185658,7.85483e-6,0.0078125,0.000336887,0.000336933
32768,1024,0.413908,0.713692,1.47715,0.167279,7.16715e-6,0.00390625,0.000522992,0.000523067
32768,2048,0.412393,0.61998,1.47169,0.148762,1.16242e-5,0.00195312,0.00052381,0.000523954
32768,4096,0.402077,0.578159,1.43318,0.137934,7.80877e-6,0.000976562,0.000615857,0.000624213
32768,8192,0.414734,0.558048,1.48066,0.128621,7.56905e-6,0.000488281,0.0004696,0.000670966
65536,1024,0.238197,0.692232,0.849899,0.152545,5.74962e-6,0.00390625,9.38425e-5,9.3872e-5
65536,2048,0.217893,0.598904,0.77753,0.136689,9.15118e-6,0.00195312,0.000102453,0.000102472
65536,4096,0.211119,0.553234,0.754087,0.131557,5.53101e-6,0.000976562,0.000126413,0.000126431
65536,8192,0.205344,0.530668,0.733024,0.127741,3.62727e-6,0.000488281,0.00014358,0.000143649
65536,16384,0.201125,0.519388,0.718636,0.123853,3.78032e-6,0.000244141,0.000151997,0.000152535
131072,2048,0.203703,0.596356,0.727202,0.152345,3.66404e-6,0.00195312,5.14881e-5,5.14984e-5
131072,4096,0.2048,0.551121,0.731306,0.145169,2.85353e-6,0.000976562,8.41256e-5,8.41385e-5
131072,8192,0.201177,0.528527,0.717984,0.141633,3.01291e-6,0.000488281,0.000101006,0.000101021
131072,16384,0.177434,0.513135,0.632678,0.140329,2.62303e-6,0.000244141,2.72688e-5,2.74351e-5
131072,32768,0.19312,0.510659,0.689593,0.143508,4.21377e-6,0.00012207,9.19438e-5,9.50611e-5
262144,4096,0.178034,0.546929,0.635064,0.140214,3.1923e-6,0.000976562,1.25418e-7,1.28173e-7
262144,8192,0.171978,0.523493,0.613507,0.138697,2.84719e-6,0.000488281,4.87819e-7,4.917e-7
262144,16384,0.170384,0.511941,0.60734,0.139844,2.56283e-6,0.000244141,3.4541e-6,3.48406e-6
262144,32768,0.166092,0.505908,0.59352,0.143191,2.37672e-6,0.00012207,3.27282e-7,3.66708e-7
262144,65536,0.164522,0.503412,0.587818,0.144827,1.87524e-6,6.10352e-5,8.52319e-6,8.99109e-6
524288,8192,0.171758,0.523467,0.612438,0.138078,2.35512e-6,0.000488281,1.92085e-9,1.08654e-8
524288,16384,0.16921,0.511756,0.603612,0.139424,2.51222e-6,0.000244141,1.94026e-10,2.05667e-9
524288,32768,0.166813,0.505884,0.594839,0.14245,2.20182e-6,0.00012207,1.16415e-10,1.62981e-9
524288,65536,0.163137,0.50296,0.581863,0.144632,2.04152e-6,6.10352e-5,8.3431e-10,2.63875e-9
524288,131072,0.159195,0.501503,0.568152,0.1471,1.6451e-6,3.05176e-5,1.39698e-9,3.37604e-9
1048576,16384,0.169144,0.511757,0.603189,0.139576,3.79799e-6,0.000244141,3.88051e-11,1.37758e-9
1048576,32768,0.165945,0.505897,0.593231,0.143219,3.16351e-6,0.00012207,3.88051e-11,1.14475e-9
1048576,65536,0.162297,0.50296,0.578016,0.143813,4.38954e-6,6.10352e-5,1.94026e-11,8.3431e-10
1048576,131072,0.158531,0.501501,0.564342,0.14671,4.61243e-6,3.05176e-5,4.46259e-10,9.99232e-9
1048576,262144,0.157189,0.500779,0.560666,0.149746,4.33121e-6,1.52588e-5,5.82077e-11,1.28057e-9
2097152,32768,0.169456,0.505897,0.603688,0.14242,2.84737e-5,0.00012207,1.94026e-11,8.53712e-10
2097152,65536,0.166484,0.502967,0.592538,0.14356,3.83383e-5,6.10352e-5,1.94026e-11,8.53712e-10
2097152,131072,0.158061,0.501503,0.564397,0.147306,3.71136e-5,3.05176e-5,3.88051e-11,1.31937e-9
2097152,262144,0.157164,0.50077,0.561547,0.149591,4.08852e-5,1.52588e-5,1.94026e-11,8.53712e-10
2097152,524288,0.159609,0.500419,0.568168,0.152201,4.30843e-5,7.62939e-6,5.62674e-10,1.10012e-8
4194304,65536,0.165377,0.502954,0.58952,0.145024,0.000768738,6.10352e-5,1.94026e-11,8.14907e-10
4194304,131072,0.161656,0.501495,0.576095,0.147017,0.000757924,3.05176e-5,6.20882e-10,3.7835e-9
4194304,262144,0.160655,0.500756,0.571695,0.149743,0.000849496,1.52588e-5,1.94026e-11,8.14907e-10
4194304,524288,0.1631,0.5004,0.578965,0.152179,0.000788611,7.62939e-6,4.94765e-9,5.47152e-8
4194304,1048576,0.165836,0.500225,0.5859,0.152922,0.000959176,3.8147e-6,1.82384e-9,2.16144e-8
8388608,131072,0.187461,0.501499,0.663272,0.142072,0.00829637,3.05176e-5,2.98799e-9,3.07725e-8
8388608,262144,0.184971,0.500779,0.654452,0.14405,0.0064401,1.52588e-5,1.94026e-11,8.73115e-10
8388608,524288,0.189856,0.500385,0.664456,0.145305,0.00626187,7.62939e-6,1.94026e-11,7.95505e-10
8388608,1048576,0.193837,0.500221,0.670708,0.145835,0.00694275,3.8147e-6,1.94026e-11,8.53712e-10
8388608,2097152,0.199863,0.500136,0.682103,0.145443,0.00867566,1.90735e-6,2.2895e-9,3.05978e-8
16777216,262144,0.232876,0.500763,0.809823,0.142489,0.0463767,1.52588e-5,1.94026e-11,8.3431e-10
16777216,524288,0.238996,0.500386,0.823714,0.143564,0.0439515,7.62939e-6,1.94026e-11,7.95505e-10
16777216,1048576,0.240106,0.500302,0.797378,0.144038,0.0367704,3.8147e-6,5.18242e-8,5.84541e-7
16777216,2097152,0.251165,0.500133,0.809243,0.143254,0.038843,1.90735e-6,9.06099e-9,1.00175e-7
16777216,4194304,0.257801,0.500084,0.814039,0.142811,0.0416985,9.53674e-7,6.88791e-9,8.00161e-8
33554432,524288,0.321671,0.505017,0.996757,0.138699,0.0520902,7.62939e-6,4.41049e-6,4.13424e-5
33554432,1048576,0.336444,0.500673,1.01534,0.139083,0.0850039,3.8147e-6,5.10598e-7,4.29258e-6
33554432,2097152,0.333802,0.500144,0.979663,0.138979,0.0823172,1.90735e-6,3.24605e-8,3.12206e-7
33554432,4194304,0.338401,0.50017,0.971228,0.13785,0.0811702,9.53674e-7,6.14673e-8,6.87879e-7
33554432,8388608,0.343753,0.50015,0.978934,0.137409,0.0827801,4.76837e-7,3.88633e-8,4.92417e-7
67108864,1048576,0.383483,0.5008,1.13018,0.136798,0.101536,3.8147e-6,4.7903e-7,4.84133e-6
67108864,2097152,0.384386,0.502065,1.03726,0.135453,0.0823327,1.90735e-6,1.75407e-6,1.63922e-5
67108864,4194304,0.390418,0.500896,1.04583,0.135527,0.0933104,9.53674e-7,7.22959e-7,6.62357e-6
67108864,8388608,0.387958,0.500383,1.03961,0.13548,0.0982931,4.76837e-7,1.87429e-7,2.09404e-6
67108864,16777216,0.389625,0.500372,1.04274,0.135544,0.0999119,2.38419e-7,1.0976e-7,1.48319e-6
134217728,2097152,0.402437,0.501344,1.08641,0.134961,0.0983102,1.90735e-6,1.04768e-6,1.01737e-5
134217728,4194304,0.403226,0.50115,1.06998,0.135034,0.100409,9.53674e-7,7.885e-7,8.11917e-6
134217728,8388608,0.404376,0.500863,1.08244,0.135171,0.103947,4.76837e-7,4.33414e-7,5.04602e-6
134217728,16777216,0.408205,0.500575,1.08234,0.13508,0.10621,2.38419e-7,1.76195e-7,2.47278e-6
134217728,33554432,0.411813,0.500595,1.09309,0.135087,0.107034,1.19209e-7,1.06442e-7,1.75905e-6
268435456,4194304,0.412979,0.501572,1.09717,0.134695,0.103571,9.53674e-7,8.09921e-7,9.48564e-6
268435456,8388608,0.413121,0.500938,1.09915,0.134792,0.107173,4.76837e-7,3.90282e-7,4.95421e-6
