Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.444939,0.876646,1.594,0.0965509,7.68315e-6,0.00225232,1.28764e-6,1.50735e-6
32768,0.416816,0.812134,1.49465,0.0919379,6.70593e-6,0.00110085,3.1112e-8,2.26777e-7
65536,0.221039,0.808337,0.792628,0.0861459,4.1687e-6,0.00103891,1.02009e-8,9.63191e-8
131072,0.201484,0.806516,0.722683,0.0998721,2.32615e-6,0.00100721,1.20199e-8,1.03377e-7
262144,0.181726,0.805528,0.651853,0.102394,1.83161e-6,0.00099183,7.08678e-9,5.02332e-8
524288,0.172291,0.804733,0.617956,0.103734,2.0579e-6,0.000984194,7.53789e-9,4.98985e-8
1048576,0.170455,0.804241,0.611083,0.103911,1.76443e-6,0.000980377,7.46513e-9,5.1994e-8
2097152,0.169574,0.804002,0.608183,0.103954,1.84411e-6,0.00097847,1.58761e-8,7.03731e-8
4194304,0.171213,0.803961,0.613271,0.103708,4.35217e-6,0.000977516,6.81015e-7,1.27286e-6
8388608,0.184692,0.80427,0.659763,0.104179,1.48615e-5,0.000977039,4.6996e-6,7.35876e-6
16777216,0.231131,0.804854,0.817993,0.100801,6.9769e-5,0.000976801,1.11067e-5,1.69099e-5
33554432,0.305505,0.8052,0.915813,0.0988435,0.0653615,0.000976682,0,0
67108864,0.308731,0.805328,1.09003,0.0962923,9.83628e-5,0.000976622,1.51228e-5,2.27694e-5
134217728,0.308356,0.805482,1.09009,0.096496,6.80926e-5,0.000976592,1.61339e-5,2.53506e-5
268435456,0.31075,0.805549,1.0964,0.0987648,6.23568e-5,0.000976577,1.72562e-5,2.64462e-5
