Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.444939,0.683119,1.59329,0.132041,4.19802e-6,0.00241527,0.000669973,0.000670093
32768,0.416995,0.616797,1.4943,0.124748,4.16244e-6,0.00119606,0.000747578,0.000747816
65536,0.221277,0.572772,0.793259,0.124467,1.90412e-6,0.00104915,0.000182608,0.000182629
131072,0.201702,0.565238,0.722906,0.137493,1.43595e-6,0.00100982,0.000100093,0.000100099
262144,0.182009,0.560589,0.652512,0.137194,1.18872e-6,0.00099237,4.18906e-5,4.18938e-5
524288,0.1726,0.558508,0.618653,0.136767,1.50829e-6,0.000984286,1.21544e-5,1.21559e-5
1048576,0.17071,0.557991,0.611606,0.136535,2.50067e-6,0.000980377,4.63847e-6,4.6394e-6
2097152,0.16977,0.557799,0.608486,0.13652,1.83471e-5,0.00097847,2.1e-6,2.10073e-6
4194304,0.171382,0.557717,0.613447,0.136532,0.000436959,0.000977516,1.02253e-6,1.02515e-6
8388608,0.184921,0.557678,0.66004,0.136399,0.00458425,0.000977039,4.90079e-7,4.90691e-7
16777216,0.231426,0.557682,0.817973,0.136844,0.0447813,0.000976801,2.40048e-7,2.40674e-7
33554432,0.305682,0.570147,0.915153,0.136862,0.000123401,0.000976715,0.0001997,0.000212411
67108864,0.308994,0.557613,1.08906,0.138347,0.107688,0.000976622,5.96337e-8,5.96337e-8
134217728,0.308615,0.557183,1.08847,0.13837,0.107733,0.000976592,2.98023e-8,2.98023e-8
268435456,0.310945,0.55678,1.09264,0.13962,0.108164,0.000976577,1.49012e-8,1.49012e-8
