Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.638532,1.03176,2.52052,0.111541,1.90145e-9,0.015625,9.96641e-6,9.97315e-6
16384,512,0.480471,0.641988,1.89182,0.0846075,1.72683e-9,0.0078125,2.66065e-5,2.67127e-5
16384,1024,0.423729,0.445392,1.67368,0.0771268,8.14907e-10,0.00390625,1.30038e-6,1.4673e-6
16384,2048,0.421592,0.348362,1.63937,0.0702053,2.17309e-9,0.00195312,1.07052e-5,1.24367e-5
16384,4096,0.40522,0.298966,1.59909,0.0681723,3.27903e-9,0.000976562,1.85294e-7,1.33433e-6
32768,512,0.417299,0.640679,1.64721,0.0847509,1.62981e-9,0.0078125,8.50783e-7,9.40054e-7
32768,1024,0.382414,0.44536,1.51308,0.0757563,1.86265e-9,0.00390625,6.75034e-7,7.57844e-7
32768,2048,0.376272,0.347658,1.49018,0.0711581,5.23869e-10,0.00195312,1.31937e-9,5.10287e-9
32768,4096,0.391275,0.298852,1.52224,0.0690645,6.0924e-9,0.000976562,3.55726e-7,3.62556e-7
32768,8192,0.384909,0.274419,1.51914,0.064927,4.59841e-9,0.000488281,7.95505e-10,5.3551e-9
65536,1024,0.250012,0.445354,0.961498,0.0687517,3.25963e-9,0.00390625,9.40248e-8,4.91641e-7
65536,2048,0.24531,0.347661,0.97143,0.0666082,1.57161e-9,0.00195312,3.68649e-10,3.08501e-9
65536,4096,0.249331,0.29887,0.97854,0.0655871,3.0074e-9,0.000976562,8.22668e-8,4.32658e-7
65536,8192,0.219851,0.274416,0.867901,0.0639706,1.57161e-9,0.000488281,2.91038e-10,2.2507e-9
65536,16384,0.207671,0.262259,0.819697,0.0632109,1.62981e-9,0.000244141,7.51073e-8,5.38751e-7
131072,2048,0.260398,0.347685,1.01531,0.0664596,3.29843e-10,0.00195312,1.02445e-7,3.64981e-7
131072,4096,0.278088,0.299053,1.07186,0.0652425,1.00893e-9,0.000976562,3.92958e-6,4.19268e-6
131072,8192,0.220136,0.274416,0.871525,0.0641129,6.59687e-10,0.000488281,3.88051e-10,2.98799e-9
131072,16384,0.213932,0.262208,0.844412,0.0635176,8.14907e-10,0.000244141,2.91038e-10,2.46412e-9
131072,32768,0.208499,0.256239,0.820446,0.0631278,8.73115e-10,0.00012207,1.71383e-6,2.15345e-6
262144,4096,0.231625,0.298845,0.91426,0.0652007,6.20882e-10,0.000976562,3.44589e-8,1.97014e-7
262144,8192,0.221474,0.274427,0.877004,0.0640949,7.76102e-10,0.000488281,2.22353e-8,1.19617e-7
262144,16384,0.212822,0.26223,0.842882,0.0635106,5.23869e-10,0.000244141,3.59141e-8,2.25186e-7
262144,32768,0.207059,0.256213,0.817419,0.0632064,3.29843e-10,0.00012207,1.16384e-6,1.6595e-6
262144,65536,0.197832,0.253253,0.780844,0.0627964,6.20882e-10,6.10352e-5,3.01481e-6,3.77768e-6
524288,8192,0.223014,0.27442,0.880269,0.0642445,6.40284e-10,0.000488281,1.40863e-8,7.46028e-8
524288,16384,0.214244,0.262225,0.848501,0.063573,1.80444e-9,0.000244141,2.86188e-8,1.70529e-7
524288,32768,0.208802,0.256206,0.813214,0.0632199,1.92085e-9,0.00012207,1.69765e-6,1.83694e-6
524288,65536,0.197554,0.253188,0.77969,0.0628501,1.68802e-9,6.10352e-5,1.97922e-6,2.4825e-6
524288,131072,0.199218,0.251529,0.78629,0.0627493,2.2895e-9,3.05176e-5,2.01787e-9,7.91624e-9
1048576,16384,0.213887,0.262229,0.844023,0.0636473,5.31203e-7,0.000244141,4.01827e-8,2.41484e-7
1048576,32768,0.205049,0.25617,0.81182,0.0631954,6.22822e-9,0.00012207,8.78567e-7,1.05612e-6
1048576,65536,0.200388,0.253834,0.788979,0.0627979,2.34577e-8,6.10352e-5,7.41773e-6,1.40046e-5
1048576,131072,0.197207,0.252322,0.757607,0.0626487,8.42459e-8,3.05176e-5,6.49877e-6,1.3963e-5
1048576,262144,0.190976,0.250911,0.753619,0.0625971,1.80386e-7,1.52588e-5,7.70902e-7,2.44821e-6
2097152,32768,0.210068,0.25621,0.82025,0.063295,4.84482e-8,0.00012207,1.50463e-6,1.81059e-6
2097152,65536,0.195226,0.253125,0.773042,0.0627259,5.02914e-8,6.10352e-5,1.00073e-6,1.2606e-6
2097152,131072,0.185825,0.251531,0.735818,0.0625803,3.18784e-8,3.05176e-5,3.67678e-8,7.66401e-8
2097152,262144,0.195801,0.251528,0.754712,0.0625797,2.39233e-7,1.52588e-5,4.63783e-6,1.30581e-5
2097152,524288,0.184059,0.250469,0.726284,0.0625491,2.56308e-7,7.62939e-6,2.64631e-7,1.2048e-6
4194304,65536,0.193989,0.253067,0.765538,0.062673,2.50506e-7,6.10352e-5,1.92803e-7,2.43386e-7
4194304,131072,0.187403,0.251527,0.741592,0.062586,1.49749e-7,3.05176e-5,2.52233e-10,1.10595e-9
4194304,262144,0.18767,0.250765,0.743092,0.0625571,1.96897e-7,1.52588e-5,1.94026e-11,6.01479e-10
4194304,524288,0.185111,0.250387,0.73063,0.0625517,3.61605e-7,7.62939e-6,1.94026e-11,6.79089e-10
4194304,1048576,0.182143,0.251106,0.713959,0.0625847,2.64243e-7,3.8147e-6,3.81388e-6,1.47165e-5
8388608,131072,0.244108,0.258499,0.962684,0.062826,1.49425e-6,3.05176e-5,2.546e-5,0.000106066
8388608,262144,0.235254,0.256855,0.931282,0.0627351,1.80871e-6,1.52588e-5,1.32818e-5,7.8191e-5
8388608,524288,0.231778,0.255863,0.915936,0.0626907,2.40967e-5,7.62939e-6,6.14473e-6,5.25443e-5
8388608,1048576,0.235961,0.256829,0.905796,0.0627059,0.000115335,3.8147e-6,3.81429e-6,4.58469e-5
8388608,2097152,0.192554,0.254395,0.759549,0.0627063,0.000242041,1.90735e-6,1.90708e-6,2.53286e-5
16777216,262144,0.408598,0.258638,1.59479,0.0627384,3.27581e-5,1.52588e-5,1.37758e-5,9.21752e-5
16777216,524288,0.398306,0.258468,1.56622,0.0626926,0.000871219,7.62939e-6,7.53182e-6,7.04771e-5
16777216,1048576,0.262812,0.25739,1.03446,0.0627106,0.00745625,3.8147e-6,3.81406e-6,4.68984e-5
16777216,2097152,0.211653,0.255474,0.833567,0.0627254,0.011605,1.90735e-6,1.9069e-6,2.7304e-5
16777216,4194304,0.209966,0.254694,0.817263,0.0626769,0.0121984,9.53674e-7,9.53519e-7,1.6107e-5
33554432,524288,0.361923,0.251967,1.41445,0.0626883,0.0116008,7.62939e-6,1.2776e-6,1.25659e-5
33554432,1048576,0.341966,0.257586,1.35149,0.0627334,0.0209478,3.8147e-6,3.8095e-6,4.65765e-5
33554432,2097152,0.277297,0.255609,1.09198,0.0627237,0.0344116,1.90735e-6,1.9062e-6,2.75038e-5
33554432,4194304,0.28119,0.255417,1.11073,0.0626801,0.0357126,9.53674e-7,9.53267e-7,1.67039e-5
33554432,8388608,0.280767,0.254781,1.10514,0.0626623,0.0368836,4.76837e-7,4.76663e-7,9.62896e-6
67108864,1048576,0.359192,0.258264,1.40531,0.0627194,0.0261362,3.8147e-6,3.73437e-6,4.66479e-5
67108864,2097152,0.325794,0.25599,1.25681,0.062723,0.0478007,1.90735e-6,1.90384e-6,2.80557e-5
67108864,4194304,0.327374,0.255768,1.28017,0.0626763,0.0486768,9.53674e-7,9.53112e-7,1.70155e-5
67108864,8388608,0.327811,0.255498,1.29572,0.062665,0.0494053,4.76837e-7,4.76333e-7,9.93411e-6
67108864,16777216,0.326254,0.254866,1.28474,0.0626476,0.0501559,2.38419e-7,2.38166e-7,5.5905e-6
134217728,2097152,0.349895,0.256396,1.37816,0.0627173,0.0542742,1.90735e-6,1.9063e-6,2.8691e-5
134217728,4194304,0.351324,0.25588,1.35548,0.0626733,0.055098,9.53674e-7,9.53267e-7,1.7088e-5
134217728,8388608,0.349535,0.255641,1.3827,0.0626602,0.0556239,4.76837e-7,4.76643e-7,9.99247e-6
134217728,16777216,0.349038,0.255251,1.35181,0.0626475,0.0560916,2.38419e-7,2.38225e-7,5.67701e-6
134217728,33554432,0.348424,0.255033,1.36135,0.0626435,0.05647,1.19209e-7,1.19132e-7,3.18957e-6
268435456,4194304,0.360855,0.256007,1.42154,0.0626774,0.0582475,9.53674e-7,9.53209e-7,1.71574e-5
268435456,8388608,0.360819,0.255726,1.42346,0.0626567,0.058706,4.76837e-7,4.76682e-7,1.00067e-5
268435456,16777216,0.359371,0.255497,1.4226,0.0626465,0.0590534,2.38419e-7,2.38322e-7,5.71768e-6
268435456,33554432,0.359567,0.25538,1.42163,0.0626396,0.0592174,1.19209e-7,1.1917e-7,3.22276e-6
268435456,67108864,0.360323,0.25515,1.41998,0.0626372,0.0595372,5.96046e-8,5.96046e-8,1.78645e-6
