Size (B),Block Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,256,0.638821,0.992173,2.52171,0.113872,8.14907e-10,0.015625,0.000458499,0.000458518
16384,512,0.480725,0.62484,1.8929,0.0848053,8.92517e-10,0.0078125,0.000302359,0.000302599
16384,1024,0.424012,0.450491,1.6749,0.0776154,3.88051e-10,0.00390625,0.000404961,0.000406953
16384,2048,0.42203,0.374979,1.64124,0.0701527,2.21189e-9,0.00195312,0.000680632,0.000687089
16384,4096,0.405513,0.33424,1.60036,0.0681354,1.12535e-9,0.000976562,0.000690177,0.000762987
32768,512,0.417541,0.619473,1.64823,0.0856889,6.40284e-10,0.0078125,0.000196326,0.000196837
32768,1024,0.382674,0.443726,1.5142,0.0759771,1.26117e-9,0.00390625,0.000273986,0.000274441
32768,2048,0.376516,0.370819,1.49121,0.0712697,3.68649e-10,0.00195312,0.000605253,0.000606617
32768,4096,0.391556,0.328233,1.52343,0.0689912,2.85218e-9,0.000976562,0.000601047,0.000647799
32768,8192,0.385197,0.305426,1.52035,0.0649805,2.46412e-9,0.000488281,0.000439473,0.000626958
65536,1024,0.250288,0.429743,0.962703,0.0679766,3.0074e-9,0.00390625,3.41155e-7,3.45036e-7
65536,2048,0.245597,0.339891,0.972696,0.0662416,8.14907e-10,0.00195312,1.71286e-7,1.74798e-7
65536,4096,0.249593,0.294962,0.979694,0.0652173,3.66708e-9,0.000976562,1.58325e-8,1.99652e-8
65536,8192,0.220158,0.272518,0.869258,0.0637195,4.07454e-10,0.000488281,3.73422e-7,3.76798e-7
65536,16384,0.207941,0.26217,0.820887,0.0630659,1.43579e-9,0.000244141,1.76237e-5,1.76678e-5
131072,2048,0.260636,0.339875,1.01636,0.066439,5.04466e-10,0.00195312,2.13428e-10,3.53126e-9
131072,4096,0.27837,0.294961,1.07307,0.0650237,9.8953e-10,0.000976562,2.13428e-10,3.62828e-9
131072,8192,0.220435,0.272499,0.872837,0.0638087,6.20882e-10,0.000488281,1.5522e-10,2.83277e-9
131072,16384,0.214422,0.26129,0.846542,0.0633218,5.04466e-10,0.000244141,1.02834e-9,3.93872e-9
131072,32768,0.208763,0.255666,0.821594,0.0629797,7.37297e-10,0.00012207,2.00797e-7,2.11488e-7
262144,4096,0.231931,0.29496,0.915611,0.0649246,4.26856e-10,0.000976562,1.5522e-10,3.14321e-9
262144,8192,0.221768,0.272499,0.878283,0.0638585,2.09548e-9,0.000488281,1.35818e-10,2.89098e-9
262144,16384,0.21311,0.261269,0.84415,0.0632931,7.567e-10,0.000244141,1.35818e-10,2.91038e-9
262144,32768,0.207305,0.255646,0.818495,0.0630487,1.16415e-10,0.00012207,2.85218e-9,5.60734e-9
