Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.424294,0.376507,1.62602,0.0651833,4.13274e-9,0.00224072,1.02158e-5,1.09977e-5
32768,0.390364,0.311949,1.54058,0.0657664,1.97906e-9,0.00110315,9.8953e-10,7.35357e-9
65536,0.262857,0.308015,1.02709,0.0628875,1.47459e-9,0.00103763,9.52083e-8,5.60171e-7
131072,0.26644,0.306001,1.02018,0.0630369,1.70742e-9,0.00100708,4.51497e-8,2.43056e-7
262144,0.223389,0.304987,0.876441,0.0626958,1.33878e-9,0.000991821,2.84247e-8,1.49283e-7
524288,0.226416,0.304489,0.887355,0.0630899,5.78196e-9,0.000984192,4.07842e-8,2.20044e-7
1048576,0.218538,0.304236,0.859825,0.062674,8.98338e-9,0.000980377,3.90767e-8,2.24934e-7
2097152,0.232848,0.304114,0.897395,0.0629192,4.0726e-8,0.00097847,3.15874e-8,1.82171e-7
4194304,0.218264,0.304039,0.858221,0.0626691,2.00157e-7,0.000977516,3.92126e-8,2.26525e-7
8388608,0.317715,0.304324,1.25056,0.0637596,4.8312e-6,0.000977039,2.57714e-6,2.88326e-6
16777216,0.41445,0.305121,1.63277,0.0646829,7.48411e-5,0.000976801,1.07412e-5,1.10429e-5
33554432,0.365581,0.303833,1.43526,0.0627073,0.00843175,0.000976681,3.29455e-8,3.75827e-8
67108864,0.361725,0.303796,1.41638,0.0629779,0.0116544,0.000976622,1.28057e-9,4.09394e-9
134217728,0.355584,0.303808,1.39903,0.0626856,0.0111597,0.000976592,2.4878e-7,3.99305e-7
268435456,0.357205,0.303869,1.40641,0.0626927,0.0104051,0.000976577,8.82816e-7,1.39048e-6
