Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
16384,0.424295,0.433654,1.62607,0.0649015,6.20882e-9,0.0024239,0.000666824,0.000667059
32768,0.390639,0.367752,1.54178,0.0654886,3.89991e-9,0.00120087,0.000708251,0.000729214
65536,0.263135,0.320764,1.02829,0.0626505,3.0074e-9,0.00104796,0.000157577,0.000157582
131072,0.266713,0.311089,1.02135,0.0626636,4.94765e-9,0.00100708,4.37444e-5,4.3748e-5
262144,0.223665,0.308629,0.877645,0.0624623,3.8223e-9,0.000991821,1.80675e-5,1.8071e-5
524288,0.226692,0.307608,0.888558,0.0627701,1.27087e-8,0.000984192,8.27338e-6,8.27635e-6
1048576,0.218813,0.307136,0.861003,0.0624288,1.74623e-8,0.000980377,3.97034e-6,3.97164e-6
2097152,0.233122,0.306914,0.898557,0.062557,6.11374e-8,0.00097847,1.94524e-6,1.94703e-6
4194304,0.218536,0.306788,0.859342,0.062463,3.56619e-7,0.000977516,9.6322e-7,9.64307e-7
8388608,0.317992,0.306738,1.25142,0.0632452,0.00453765,0.000977039,4.78874e-7,4.79709e-7
16777216,0.414724,0.306695,1.63386,0.0635854,0.0456785,0.000976801,2.38729e-7,2.39544e-7
33554432,0.365857,0.306665,1.43584,0.0615401,0.0594852,0.000976682,1.21111e-7,1.21887e-7
67108864,0.361997,0.306659,1.41644,0.06167,0.0602368,0.000976622,6.02449e-8,6.02449e-8
134217728,0.355859,0.306642,1.39817,0.0614641,0.0602705,0.000976592,2.99187e-8,2.99187e-8
268435456,0.357478,0.306536,1.40356,0.0614039,0.0602039,0.000976577,1.49206e-8,1.49206e-8
