Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
1,8192,0.0301309,0.503906,0.13747,6.65939e-7,3.14467e-8
1,16384,0.0284855,0.501953,0.13087,2.82894e-6,3.69037e-8
1,32768,0.0278683,0.500977,0.128048,1.14024e-6,1.97659e-7
1,65536,0.0453389,0.500488,0.208306,4.11602e-6,9.38031e-7
1,131072,0.0495199,0.500244,0.227507,0.012917,7.86575e-7
1,262144,0.0656817,0.500122,0.301767,0.0768605,4.39934e-7
1,524288,0.0809656,0.500061,0.371996,0.126316,6.50762e-8
1,1048576,0.083541,0.500031,0.383854,0.134658,7.37346e-8
1,2097152,0.0835515,0.500015,0.383884,0.134717,1.62869e-6
1,3145728,0.0836351,0.50001,0.384233,0.134683,1.06864e-5
1,4194304,0.0837928,0.500008,0.384922,0.134708,5.65186e-5
1,5242880,0.088271,0.500006,0.405421,0.135131,0.00161318
1,6291456,0.0913634,0.500005,0.419467,0.135593,0.00296555
1,7340032,0.107072,0.500004,0.491456,0.137151,0.0102548
1,8388608,0.121535,0.500004,0.557479,0.138565,0.0172889
1,10485760,0.147841,0.500003,0.678002,0.141309,0.0311823
1,12582912,0.166065,0.500003,0.761414,0.142643,0.0408582
1,16777216,0.195493,0.500002,0.896612,0.14371,0.0562543
1,33554432,0.239023,0.500001,1.09712,0.146074,0.0772837
1,67108864,0.261533,0.500001,1.201,0.147174,0.0873073
1,134217728,0.272894,0.5,1.25333,0.147468,0.0921382
2,8192,0.029862,0.503906,0.137216,6.34405e-7,4.0367e-8
2,16384,0.0290424,0.501953,0.133382,3.17996e-6,5.66361e-8
2,32768,0.0279829,0.500977,0.128577,7.8445e-7,1.08703e-7
2,65536,0.0456232,0.500488,0.209649,2.76251e-5,3.74959e-7
2,131072,0.0458629,0.500244,0.210741,3.27972e-5,4.9558e-7
2,262144,0.0664661,0.500122,0.305387,0.0810513,2.98271e-7
2,524288,0.083042,0.500061,0.381555,0.134511,2.75177e-8
2,1048576,0.0838312,0.500031,0.38514,0.136917,6.85395e-8
2,2097152,0.0839095,0.500015,0.385486,0.136904,1.03855e-5
2,3145728,0.0934565,0.50001,0.429029,0.137637,0.00405518
2,4194304,0.14973,0.500008,0.686863,0.139444,0.0285882
2,5242880,0.22785,0.500006,1.04469,0.140558,0.0553588
2,6291456,0.212838,0.500005,0.975286,0.134164,0.0317448
2,7340032,0.356263,0.500005,1.63298,0.137208,0.0868443
2,8388608,0.38899,0.500004,1.78296,0.134469,0.0882282
2,10485760,0.417098,0.500003,1.91263,0.131737,0.088348
