Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
1,8192,0.0183077,0.254883,0.0726592,4.27826e-9,3.85626e-10
1,16384,0.0169293,0.252441,0.0675672,5.84987e-9,4.29281e-10
1,32768,0.0163962,0.251221,0.06506,7.70524e-9,6.1118e-10
1,65536,0.0498048,0.25061,0.198958,9.50968e-9,1.60071e-10
1,131072,0.0501418,0.250305,0.198817,2.05764e-8,1.29512e-9
1,262144,0.0502592,0.250153,0.200776,3.96394e-8,4.58385e-10
1,524288,0.0504098,0.250076,0.201323,2.67632e-7,1.23691e-9
1,1048576,0.0876251,0.250038,0.349617,0.0237901,4.11092e-9
1,2097152,0.147073,0.250019,0.587368,0.0618603,9.11241e-8
1,3145728,0.14838,0.250013,0.591598,0.0624989,3.41397e-7
1,4194304,0.148271,0.25001,0.591785,0.062499,7.62448e-8
1,5242880,0.148331,0.250008,0.591784,0.0624988,7.80882e-7
1,6291456,0.1506,0.250006,0.60003,0.0624386,0.000103126
1,7340032,0.183391,0.250006,0.730417,0.0620255,0.00043095
1,8388608,0.183173,0.250005,0.731105,0.0620026,0.000904048
1,9437184,0.181737,0.250004,0.725225,0.061989,0.00105215
1,10485760,0.184145,0.250004,0.730326,0.0620193,0.00232877
1,11534336,0.183926,0.250004,0.732743,0.0620117,0.0036012
1,12582912,0.185757,0.250003,0.739604,0.0620475,0.00520449
1,13631488,0.186794,0.250003,0.745063,0.0620489,0.00700319
1,14680064,0.18922,0.250003,0.752154,0.0620783,0.00879122
1,15728640,0.192127,0.250003,0.756958,0.0621,0.0109993
1,16777216,0.195491,0.250002,0.77884,0.0621043,0.0132821
1,33554432,0.258643,0.250001,1.01333,0.0619704,0.0367408
1,67108864,0.305895,0.250001,1.20475,0.061716,0.0493906
1,134217728,0.329778,0.25,1.3019,0.0615877,0.0554548
1,268435456,0.341267,0.25,1.35735,0.0615064,0.0583186
2,8192,0.0183576,0.254883,0.0726956,2.30648e-9,2.6921e-10
2,16384,0.0170819,0.252441,0.0676294,3.18687e-9,1.38243e-10
2,32768,0.0164427,0.251221,0.0651024,4.83124e-9,5.09317e-11
2,65536,0.0504002,0.25061,0.199598,9.35688e-9,1.45519e-10
2,131072,0.050569,0.250305,0.198143,1.86847e-8,1.17871e-9
2,262144,0.0500894,0.250153,0.197939,3.50919e-8,1.42609e-9
2,524288,0.0514559,0.250076,0.203057,2.32598e-7,1.11322e-9
2,1048576,0.0779518,0.250038,0.307675,0.0180138,1.60799e-9
2,2097152,0.153194,0.250019,0.588922,0.0624153,9.13133e-9
2,3145728,0.153083,0.250013,0.59148,0.0624981,1.41357e-5
2,4194304,0.15534,0.25001,0.585375,0.0624918,0.00043008
2,5242880,0.15943,0.250008,0.613869,0.0624639,0.00208095
2,6291456,0.174345,0.250006,0.679078,0.0623646,0.00809185
2,7340032,0.197327,0.250006,0.756266,0.0621019,0.0117648
2,8388608,0.220049,0.250005,0.854314,0.0621005,0.021037
2,9437184,0.254184,0.250004,0.986511,0.0620109,0.032162
2,10485760,0.283128,0.250004,1.08871,0.0618754,0.0397708
2,11534336,0.306229,0.250004,1.18932,0.0617672,0.0453396
2,12582912,0.324421,0.250003,1.24831,0.0616766,0.0491463
2,13631488,0.34004,0.250003,1.32303,0.0615846,0.0521943
2,14680064,0.347286,0.250003,1.35054,0.0615553,0.053606
2,15728640,0.355828,0.250003,1.38296,0.0614964,0.0547844
2,16777216,0.36078,0.250002,1.40125,0.0614957,0.0556684
2,33554432,0.377148,0.250001,1.45623,0.0614098,0.0571798
2,67108864,0.371597,0.250001,1.45255,0.0614207,0.0556596
2,134217728,0.384903,0.25,1.4835,0.0613692,0.0582813
2,268435456,0.39161,0.25,1.50763,0.0613442,0.059571
3,8192,0.0191648,0.254883,0.0726659,2.01544e-9,3.0559e-10
3,16384,0.0178033,0.252441,0.0675802,3.27418e-9,2.76486e-10
3,32768,0.0171404,0.251221,0.0650724,4.97676e-9,2.11003e-10
3,65536,0.0523244,0.25061,0.198651,1.12777e-8,4.22006e-10
3,131072,0.053295,0.250305,0.197906,1.6269e-8,5.52973e-10
3,262144,0.0528647,0.250153,0.199387,3.64671e-8,8.22183e-10
3,524288,0.0530614,0.250076,0.200768,1.04985e-7,1.99361e-9
3,1048576,0.0859569,0.250038,0.321827,0.0204271,7.30506e-9
3,2097152,0.153846,0.250019,0.577417,0.0619679,7.95786e-7
3,3145728,0.156079,0.250013,0.584248,0.0624893,0.000382225
3,4194304,0.164865,0.25001,0.618971,0.0624459,0.00367584
3,5242880,0.178929,0.250008,0.6691,0.062422,0.00934902
3,6291456,0.262757,0.250006,0.988956,0.0622644,0.0372988
3,7340032,0.345065,0.250006,1.29742,0.061593,0.0502619
3,8388608,0.361018,0.250005,1.35725,0.0615213,0.0525634
3,9437184,0.355577,0.250004,1.3315,0.0615342,0.050077
3,10485760,0.374662,0.250004,1.4077,0.0614423,0.0523521
3,11534336,0.396252,0.250004,1.48045,0.0613179,0.0554353
3,12582912,0.408842,0.250003,1.54181,0.0612618,0.0560197
3,13631488,0.423017,0.250003,1.59058,0.0611658,0.0573207
3,14680064,0.433735,0.250003,1.63393,0.0611251,0.058165
3,15728640,0.440617,0.250003,1.65941,0.0610991,0.0582604
3,16777216,0.447362,0.250003,1.68166,0.0610381,0.0584115
3,33554432,0.442801,0.250001,1.65898,0.0609974,0.0537084
3,67108864,0.465111,0.250001,1.75092,0.0608841,0.0571286
3,134217728,0.478132,0.25,1.79617,0.0608219,0.0588212
3,268435456,0.484827,0.25,1.82568,0.0607862,0.0594629
4,8192,0.0192974,0.254883,0.0726992,1.73895e-9,1.38243e-10
4,16384,0.0179491,0.252441,0.0676321,3.20142e-9,8.00355e-11
4,32768,0.0175953,0.251221,0.0650769,4.42378e-9,8.73115e-11
4,65536,0.0533321,0.25061,0.197813,9.70613e-9,5.74801e-10
4,131072,0.0524968,0.250305,0.197829,1.56651e-8,1.16415e-10
4,262144,0.0530292,0.250153,0.198857,3.66053e-8,1.07684e-9
4,524288,0.0539461,0.250076,0.201649,2.5233e-7,1.34605e-9
4,1048576,0.0867487,0.250038,0.323982,0.0213929,3.29601e-9
4,2097152,0.155787,0.250019,0.579181,0.0610245,5.49131e-5
4,3145728,0.164472,0.250013,0.613192,0.0624579,0.00226375
4,4194304,0.214681,0.25001,0.801287,0.0624118,0.0220978
4,5242880,0.317236,0.250008,1.18146,0.0622353,0.0462038
4,6291456,0.38172,0.250006,1.42561,0.0619381,0.050267
4,7340032,0.466338,0.250006,1.7386,0.0609428,0.0558128
4,8388608,0.463661,0.250005,1.73329,0.0608802,0.0521561
4,9437184,0.499873,0.250004,1.86176,0.0606433,0.0553195
4,10485760,0.523994,0.250004,1.95495,0.0605167,0.0561463
4,11534336,0.548106,0.250004,2.04633,0.0603822,0.0572977
4,12582912,0.566628,0.250003,2.11387,0.0602318,0.0576357
4,13631488,0.580398,0.250003,2.16717,0.060109,0.0579631
4,14680064,0.586066,0.250003,2.18783,0.0600859,0.057661
4,15728640,0.592468,0.250003,2.212,0.0600662,0.0579601
4,16777216,0.5959,0.250003,2.22637,0.0600202,0.057858
4,33554432,0.581322,0.250001,2.17137,0.060046,0.0548455
4,67108864,0.603768,0.250001,2.25939,0.0599064,0.0574136
4,134217728,0.613569,0.25,2.28843,0.0598583,0.0584848
4,268435456,0.619649,0.25,2.31977,0.0598294,0.0587032
5,8192,0.0196545,0.254883,0.0726846,1.97178e-9,1.16415e-10
5,16384,0.0182703,0.252441,0.0675731,2.88128e-9,2.18279e-11
5,32768,0.0176027,0.251221,0.0650717,4.95493e-9,4.22006e-10
5,65536,0.0535062,0.25061,0.197873,8.07631e-9,1.09139e-10
5,131072,0.0535164,0.250305,0.197918,1.80735e-8,2.98314e-10
5,262144,0.0535983,0.250153,0.198116,3.4699e-8,1.06957e-9
5,524288,0.0539732,0.250076,0.199605,7.34872e-8,8.73115e-10
5,1048576,0.0815852,0.250038,0.301679,0.0165327,3.01952e-9
5,2097152,0.166978,0.250019,0.614547,0.0622973,0.000215928
5,3145728,0.184278,0.250013,0.679265,0.0624235,0.00696025
5,4194304,0.326102,0.25001,1.20068,0.0621657,0.0396665
5,5242880,0.46314,0.250008,1.70587,0.0616104,0.0494303
5,6291456,0.556217,0.250007,2.04933,0.0610798,0.0556578
5,7340032,0.625593,0.250006,2.3066,0.0598254,0.0563003
5,8388608,0.623465,0.250005,2.29508,0.0598343,0.0543191
5,9437184,0.654415,0.250004,2.412,0.0596698,0.0558851
5,10485760,0.679742,0.250004,2.50532,0.0593873,0.0566347
5,11534336,0.701617,0.250004,2.58555,0.0592064,0.0568997
5,12582912,0.715084,0.250003,2.63608,0.0591857,0.0571763
5,13631488,0.721722,0.250003,2.65991,0.05913,0.0571576
5,14680064,0.725603,0.250003,2.67573,0.0590771,0.0570753
5,15728640,0.725426,0.250003,2.67535,0.0590633,0.0566341
5,16777216,0.72327,0.250003,2.66654,0.059066,0.056184
5,33554432,0.718547,0.250001,2.65381,0.0590024,0.0553448
5,67108864,0.73837,0.250001,2.72411,0.0588938,0.0572136
5,134217728,0.743265,0.25,2.74516,0.0588645,0.0577255
5,268435456,0.746322,0.25,2.7562,0.0588597,0.0577543
6,8192,0.0196647,0.254883,0.0726983,2.0882e-9,2.61934e-10
6,16384,0.0182696,0.252441,0.0675724,2.91038e-9,2.18279e-11
6,32768,0.0176077,0.251221,0.065072,5.56611e-9,3.12866e-10
6,65536,0.0533961,0.25061,0.197459,9.34233e-9,2.54659e-10
6,131072,0.0535576,0.250305,0.198036,1.72877e-8,2.61934e-10
6,262144,0.0538089,0.250153,0.198952,3.57613e-8,4.36557e-10
6,524288,0.05389,0.250076,0.199125,6.95727e-8,1.42609e-9
6,1048576,0.0927033,0.250038,0.34276,0.0220251,4.16476e-8
6,2097152,0.185572,0.250019,0.683033,0.0608224,0.000655471
6,3145728,0.280753,0.250013,1.03637,0.0622917,0.0273443
6,4194304,0.512886,0.25001,1.89066,0.0614309,0.049018
6,5242880,0.62886,0.250008,2.31985,0.060827,0.0523428
6,6291456,0.721826,0.250007,2.65974,0.0600934,0.0566893
6,7340032,0.730365,0.250006,2.69176,0.0590503,0.053371
6,8388608,0.763498,0.250005,2.81383,0.0588762,0.054876
6,9437184,0.807996,0.250004,2.97833,0.0586902,0.0561585
6,10485760,0.830048,0.250004,3.05896,0.0586038,0.0564
6,11534336,0.845163,0.250004,3.11549,0.0585813,0.0566425
6,12582912,0.848796,0.250003,3.12813,0.0586094,0.0561524
6,13631488,0.846764,0.250003,3.12172,0.0585729,0.0554104
6,14680064,0.802792,0.250003,2.96035,0.0587989,0.0514222
6,15728640,0.810269,0.250003,2.98715,0.0587416,0.0519115
6,16777216,0.815469,0.250003,3.00712,0.0587388,0.0523347
6,33554432,0.859737,0.250001,3.17179,0.0585178,0.0557501
6,67108864,0.877491,0.250001,3.23911,0.0584242,0.0570874
6,134217728,0.881081,0.250001,3.25204,0.0584125,0.0573599
6,268435456,0.880071,0.25,3.24918,0.0584244,0.057379
7,8192,0.0197292,0.254883,0.0729018,2.663e-9,2.76486e-10
