Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
1,8192,0.0386206,0.503906,0.136872,8.19055e-7,5.77988e-7
1,16384,0.0367896,0.501953,0.130969,2.12234e-6,1.06305e-6
1,32768,0.0360328,0.500977,0.128637,3.29914e-6,1.7008e-6
1,65536,0.0532533,0.500488,0.189593,1.02615e-5,5.17738e-6
1,131072,0.0647112,0.500244,0.22944,0.0202615,1.13964e-5
1,524288,0.100073,0.500061,0.355378,0.108848,4.37506e-6
1,1048576,0.102901,0.500031,0.366779,0.119238,9.76434e-8
1,2097152,0.102339,0.500015,0.365721,0.119207,4.80111e-7
1,3145728,0.1028,0.50001,0.367181,0.119248,9.49662e-7
1,4194304,0.103468,0.500008,0.366898,0.119293,3.67333e-6
1,5242880,0.10325,0.500006,0.367829,0.119235,2.581e-5
1,6291456,0.112407,0.500005,0.39723,0.119203,0.000347373
1,7340032,0.12799,0.500004,0.451941,0.119161,0.000952488
1,8388608,0.132141,0.500004,0.466133,0.119191,0.00221557
1,10485760,0.137602,0.500003,0.483911,0.118999,0.00398342
1,12582912,0.144408,0.500003,0.506846,0.119035,0.00679123
1,14680064,0.161577,0.500002,0.563151,0.119116,0.0142634
1,16777216,0.189209,0.500002,0.655,0.119459,0.0262567
1,33554432,0.325175,0.500001,1.13309,0.122622,0.0923114
1,67108864,0.363458,0.500001,1.265,0.123777,0.111315
1,134217728,0.369156,0.5,1.28964,0.124178,0.117283
2,8192,0.0383624,0.503906,0.136841,9.29795e-7,6.54763e-7
2,16384,0.036611,0.501953,0.130864,1.90194e-6,8.02087e-7
2,32768,0.0360048,0.500977,0.128668,2.34434e-6,2.04235e-6
2,65536,0.0530564,0.500488,0.189709,3.89736e-5,4.20607e-6
2,131072,0.0636113,0.500244,0.227033,0.0204436,1.14728e-5
2,524288,0.101514,0.500061,0.362508,0.111683,2.98794e-7
2,1048576,0.102585,0.500031,0.366774,0.119281,7.35454e-8
2,2097152,0.104054,0.500015,0.371627,0.119302,7.62579e-7
2,3145728,0.102746,0.50001,0.366777,0.119265,1.17883e-5
2,4194304,0.105047,0.500008,0.36997,0.11917,0.000144073
2,5242880,0.110764,0.500006,0.393399,0.119235,0.00141318
2,6291456,0.132547,0.500005,0.467659,0.119282,0.00926647
2,7340032,0.143774,0.500004,0.500313,0.119403,0.00457439
2,8388608,0.194104,0.500004,0.673314,0.119702,0.0267749
2,10485760,0.163828,0.500003,0.569768,0.119343,0.0113328
2,12582912,0.201499,0.500003,0.700864,0.119971,0.0251313
2,14680064,0.37309,0.500002,1.29813,0.12268,0.0878496
2,16777216,0.331447,0.500002,1.14637,0.121589,0.0680841
2,33554432,0.458349,0.500001,1.59395,0.123728,0.106495
2,67108864,0.492789,0.500001,1.71398,0.124304,0.117523
2,134217728,0.489797,0.5,1.69908,0.124543,0.121665
3,8192,0.0382927,0.503906,0.136904,8.84538e-7,5.5015e-7
3,16384,0.0366935,0.501953,0.131141,2.36064e-6,1.04854e-6
3,32768,0.0358665,0.500977,0.128423,1.99061e-6,1.74118e-6
3,65536,0.0528143,0.500488,0.189083,1.12621e-5,5.34877e-6
3,131072,0.0640795,0.500244,0.229267,0.0201971,9.51716e-6
3,524288,0.102785,0.500061,0.367755,0.112156,2.44821e-7
3,1048576,0.104312,0.500031,0.373135,0.119043,1.97368e-7
3,2097152,0.104741,0.500015,0.373713,0.119208,4.96382e-6
3,3145728,0.105098,0.50001,0.375172,0.119258,0.000129931
3,4194304,0.110304,0.500008,0.387816,0.119246,0.000721649
3,5242880,0.13621,0.500006,0.478526,0.119363,0.00825776
3,6291456,0.166538,0.500005,0.579334,0.119518,0.0161163
3,7340032,0.264983,0.500004,0.921019,0.120744,0.0434106
3,8388608,0.290131,0.500004,1.00824,0.121024,0.0474882
3,10485760,0.341653,0.500003,1.18605,0.121354,0.0525857
3,12582912,0.39237,0.500003,1.35697,0.121594,0.0573672
3,14680064,0.552178,0.500002,1.88759,0.12298,0.0876636
3,16777216,0.593309,0.500002,2.06274,0.123516,0.0977178
3,33554432,0.675837,0.500001,2.35062,0.124249,0.113421
3,67108864,0.710712,0.500001,2.47233,0.12462,0.120894
3,134217728,0.706512,0.5,2.44665,0.124755,0.123541
4,8192,0.0381605,0.503906,0.136685,8.79329e-7,5.15778e-7
4,16384,0.036738,0.501953,0.131502,2.50347e-6,9.72854e-7
4,32768,0.0365143,0.500977,0.130683,2.30894e-6,1.73676e-6
4,65536,0.0528255,0.500488,0.189199,9.23456e-6,5.52738e-6
4,131072,0.0639517,0.500244,0.229026,0.0205054,9.54779e-6
4,524288,0.110187,0.500061,0.39431,0.11228,2.74584e-6
4,1048576,0.113843,0.500031,0.406673,0.119417,1.31215e-7
4,2097152,0.11507,0.500015,0.411219,0.119449,0.000102455
4,3145728,0.124311,0.50001,0.442163,0.119467,0.00346365
4,4194304,0.13157,0.500008,0.458881,0.119466,0.00396439
4,5242880,0.192727,0.500006,0.670141,0.119908,0.0178515
4,6291456,0.209526,0.500005,0.727751,0.120035,0.0184969
4,7340032,0.509422,0.500005,1.76918,0.122554,0.0751768
4,8388608,0.455148,0.500004,1.58126,0.121918,0.0578033
4,10485760,0.794962,0.500003,2.75998,0.124099,0.105735
4,12582912,0.74904,0.500003,2.60185,0.123619,0.0921316
4,14680064,0.807808,0.500002,2.79582,0.123951,0.100576
4,16777216,0.846538,0.500002,2.94014,0.124157,0.105777
4,33554432,0.941576,0.500001,3.27379,0.124652,0.118537
4,67108864,0.970645,0.500001,3.37562,0.124794,0.122603
4,134217728,0.93868,0.500001,3.25066,0.124849,0.124253
5,8192,0.038196,0.503906,0.136854,9.64123e-7,5.39148e-7
5,16384,0.036592,0.501953,0.131118,3.32406e-6,9.06803e-7
5,32768,0.0359423,0.500977,0.128667,5.68718e-6,1.95607e-6
5,65536,0.0529239,0.500488,0.189472,9.46467e-6,6.0551e-6
5,131072,0.0528556,0.500244,0.189455,6.06978e-5,1.06505e-5
5,524288,0.11843,0.500061,0.424225,0.109052,4.61304e-6
5,1048576,0.125128,0.500031,0.447851,0.119662,2.51472e-7
5,2097152,0.127692,0.500015,0.454885,0.119673,0.000975202
5,3145728,0.128529,0.50001,0.455957,0.119726,0.00143615
5,4194304,0.365105,0.500008,1.27108,0.121642,0.0539631
5,5242880,0.407617,0.500006,1.4158,0.121395,0.0469093
5,6291456,0.347452,0.500005,1.20577,0.12095,0.0312468
5,7340032,0.801171,0.500005,2.7767,0.123494,0.0882397
5,8388608,0.928769,0.500004,3.21425,0.123971,0.0974375
5,10485760,1.02054,0.500003,3.54327,0.124204,0.100702
5,12582912,1.07528,0.500003,3.72691,0.124384,0.106411
5,14680064,1.097,0.500003,3.78017,0.124435,0.10817
5,16777216,1.1259,0.500002,3.90786,0.124559,0.111774
5,33554432,1.20813,0.500001,4.19871,0.124814,0.120604
5,67108864,1.23703,0.500001,4.30077,0.124905,0.123827
5,134217728,1.1937,0.500001,4.13092,0.124924,0.124489
6,8192,0.0382729,0.503906,0.137195,1.09918e-6,5.19241e-7
6,16384,0.0365595,0.501953,0.131042,3.02974e-6,9.46719e-7
6,32768,0.0360655,0.500977,0.129223,2.92214e-6,2.12761e-6
6,65536,0.0531303,0.500488,0.190254,8.26892e-5,5.07168e-6
6,131072,0.052988,0.500244,0.189888,7.03694e-5,9.89319e-6
6,524288,0.129892,0.500061,0.465155,0.111554,5.7103e-6
6,1048576,0.137812,0.500031,0.493491,0.119893,7.26403e-7
6,2097152,0.142199,0.500015,0.507119,0.119885,0.00136801
6,3145728,0.212026,0.50001,0.7364,0.120443,0.0160715
6,4194304,0.441626,0.500008,1.53196,0.121392,0.042215
6,5242880,0.63449,0.500006,2.20086,0.122112,0.0576898
6,6291456,1.10487,0.500005,3.82925,0.124156,0.099261
6,7340032,1.30271,0.500005,4.40937,0.124333,0.101659
6,8388608,1.24567,0.500004,4.30862,0.124372,0.101604
6,10485760,1.31742,0.500003,4.56074,0.124554,0.108079
6,12582912,1.35923,0.500003,4.71048,0.124635,0.111089
6,14680064,1.38305,0.500003,4.79928,0.12468,0.112988
6,16777216,1.4076,0.500002,4.8858,0.124737,0.115247
6,33554432,1.48466,0.500001,5.15292,0.12489,0.122251
6,67108864,1.50208,0.500001,5.21759,0.12494,0.124066
6,134217728,1.45029,0.500001,5.01285,0.124946,0.12462
7,8192,0.0382547,0.503906,0.137126,1.36021e-6,4.99407e-7
7,16384,0.0366596,0.501953,0.131432,4.3257e-6,6.80899e-7
7,32768,0.0360898,0.500977,0.12937,2.43158e-6,1.57983e-6
7,65536,0.0529556,0.500488,0.189928,8.14341e-6,5.85227e-6
7,131072,0.0681503,0.500244,0.244166,0.0261635,8.79953e-6
7,524288,0.14897,0.500061,0.533421,0.111852,2.95437e-6
7,1048576,0.159317,0.500031,0.569973,0.120165,1.25595e-5
7,2097152,0.163551,0.500015,0.581013,0.120302,0.00218039
7,3145728,0.160896,0.50001,0.558953,0.119893,0.00373694
7,4194304,0.416601,0.500008,1.44143,0.121122,0.0278745
7,5242880,1.295,0.500007,4.47788,0.124221,0.0992686
7,6291456,1.40081,0.500006,4.84189,0.124307,0.0971595
7,7340032,1.48137,0.500005,5.10111,0.124473,0.102467
7,8388608,1.50386,0.500004,5.20306,0.124497,0.103146
7,10485760,1.6082,0.500004,5.56476,0.124706,0.112036
7,12582912,1.63748,0.500003,5.67404,0.124749,0.114029
7,14680064,1.6681,0.500003,5.76645,0.124768,0.115627
7,16777216,1.6864,0.500002,5.84006,0.124824,0.117266
7,33554432,1.75352,0.500002,6.0684,0.124932,0.123013
7,67108864,1.76637,0.500001,6.12571,0.12496,0.124289
7,134217728,1.70945,0.500001,5.88743,0.124954,0.124738
8,8192,0.0383061,0.503906,0.137358,1.61859e-6,4.82061e-7
8,16384,0.0366344,0.501953,0.131391,3.66072e-6,6.51096e-7
8,32768,0.0363604,0.500977,0.130241,5.52312e-6,1.88325e-6
8,65536,0.0529411,0.500488,0.189804,1.28937e-5,5.69687e-6
8,131072,0.0614264,0.500244,0.220163,0.0104706,8.28186e-6
8,524288,0.167006,0.500061,0.597751,0.108966,3.29148e-6
8,1048576,0.180192,0.500031,0.644954,0.120461,9.91929e-5
8,2097152,0.177257,0.500015,0.623664,0.120436,0.00262359
8,3145728,0.582219,0.50001,2.0172,0.121738,0.0463185
8,4194304,0.728329,0.500008,2.51602,0.121813,0.0435296
8,5242880,1.55499,0.500007,5.35928,0.124227,0.0928005
8,6291456,1.70302,0.500006,5.87632,0.124537,0.102874
8,7340032,1.78224,0.500005,6.12188,0.124625,0.106405
8,8388608,1.81331,0.500004,6.25598,0.124682,0.109069
8,10485760,1.88507,0.500004,6.48541,0.124771,0.113454
8,12582912,1.91171,0.500003,6.60713,0.124809,0.115118
8,14680064,1.93845,0.500003,6.70267,0.124844,0.116866
8,16777216,1.95775,0.500003,6.77053,0.12487,0.118271
