Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
1,8192,0.018428,0.254883,0.0726868,2.94676e-9,2.54659e-10
1,16384,0.0169394,0.252441,0.0675861,5.72618e-9,2.03727e-10
1,32768,0.0162826,0.251221,0.0650399,5.62432e-9,7.27596e-12
1,65536,0.0503014,0.25061,0.197079,9.45874e-9,1.23691e-10
1,131072,0.0511727,0.250305,0.196919,1.85973e-8,3.20142e-10
1,262144,0.049315,0.250153,0.196993,4.19241e-8,2.18279e-10
1,524288,0.0493094,0.250076,0.196883,9.18808e-8,1.3024e-9
1,1048576,0.0919157,0.250038,0.363222,0.0215646,3.49974e-9
1,2097152,0.146559,0.250019,0.576384,0.0613989,4.28336e-8
1,3145728,0.148409,0.250013,0.587796,0.0624936,1.06171e-7
1,4194304,0.149502,0.25001,0.578667,0.0624983,3.94786e-7
1,5242880,0.147992,0.250008,0.590644,0.0624963,2.21663e-5
1,6291456,0.158225,0.250006,0.630066,0.0615496,8.72278e-5
1,7340032,0.220034,0.250006,0.864586,0.0588309,0.000200771
1,8388608,0.220061,0.250005,0.878202,0.0589179,0.000735108
1,9437184,0.223007,0.250004,0.888563,0.058772,0.00147264
1,10485760,0.225236,0.250004,0.896251,0.0587747,0.00242473
1,11534336,0.226904,0.250004,0.892415,0.0587161,0.00356226
1,12582912,0.232826,0.250003,0.926838,0.0585809,0.00503349
1,13631488,0.23984,0.250003,0.957033,0.0584637,0.00664186
1,14680064,0.247998,0.250003,0.972905,0.0583166,0.00918742
1,15728640,0.254579,0.250003,1.01068,0.0582247,0.0110506
1,16777216,0.260958,0.250002,1.03799,0.0580811,0.0132068
1,33554432,0.360584,0.250001,1.43452,0.0570007,0.036448
1,67108864,0.42124,0.250001,1.66966,0.056035,0.0482754
1,134217728,0.453218,0.25,1.79457,0.0552577,0.0533873
1,268435456,0.465773,0.25,1.85812,0.0549638,0.0549084
2,8192,0.0184285,0.254883,0.0726809,2.06637e-9,1.45519e-10
2,16384,0.0171507,0.252441,0.0676557,4.74392e-9,9.45874e-11
2,32768,0.0165641,0.251221,0.0650892,4.84579e-9,7.27596e-12
2,65536,0.0500691,0.25061,0.197208,8.8985e-9,2.18279e-11
2,131072,0.0507104,0.250305,0.197092,1.73968e-8,2.6921e-10
2,262144,0.0501321,0.250153,0.19725,3.38332e-8,1.96451e-10
2,524288,0.0499332,0.250076,0.19707,1.26347e-7,9.24047e-10
2,1048576,0.0899415,0.250038,0.353572,0.0209991,1.5134e-9
2,2097152,0.152714,0.250019,0.585855,0.0624311,6.84493e-7
2,3145728,0.15214,0.250013,0.594074,0.062493,3.79593e-6
2,4194304,0.153549,0.25001,0.589546,0.0624677,0.000335197
2,5242880,0.157826,0.250008,0.611914,0.0623107,0.00174467
2,6291456,0.209522,0.250006,0.808512,0.0601535,0.00762418
2,7340032,0.25497,0.250006,0.991637,0.0583735,0.00994659
2,8388608,0.280724,0.250005,1.10335,0.0579059,0.016231
2,9437184,0.310978,0.250004,1.20339,0.0577287,0.0226887
2,10485760,0.36996,0.250004,1.4295,0.0568576,0.0341653
2,11534336,0.394161,0.250004,1.5239,0.0566009,0.0384604
2,12582912,0.414168,0.250003,1.58713,0.0561965,0.0417688
